Wall time,Step,Value
1678201359.5213091,10,3.2776846885681152
1678201359.5233116,10,3.275857925415039
1678201359.5253136,10,3.2737486362457275
1678201359.5273151,10,3.27138352394104
1678201359.5293167,10,3.268787145614624
1678201359.5323195,10,3.266003131866455
1678201359.5343208,10,3.263479232788086
1678201359.536323,10,3.261854410171509
1678201359.539326,10,3.2613606452941895
1678201359.5413282,10,3.2614572048187256
1678201361.0799944,20,2.1494922637939453
1678201361.0829968,20,2.1499183177948
1678201361.0849986,20,2.1502068042755127
1678201361.0859997,20,2.1503682136535645
1678201361.0880017,20,2.1504132747650146
1678201361.0900037,20,2.1503562927246094
1678201361.0920057,20,2.150203227996826
1678201361.0940075,20,2.149963617324829
1678201361.0960093,20,2.1496450901031494
1678201361.0970101,20,2.149252414703369
1678201363.0043259,30,1.3147820234298706
1678201363.0063274,30,1.3147920370101929
1678201363.0093303,30,1.314677357673645
1678201363.011332,30,1.314457654953003
1678201363.0133338,30,1.3141409158706665
1678201363.0153358,30,1.3137352466583252
1678201363.0173376,30,1.3132494688034058
1678201363.0193398,30,1.3126909732818604
1678201363.0213418,30,1.3120661973953247
1678201363.023343,30,1.3113807439804077
1678201365.0116022,40,0.5236954092979431
1678201365.0136044,40,0.5237707495689392
1678201365.0156057,40,0.5237808227539062
1678201365.017608,40,0.5237323045730591
1678201365.01961,40,0.5236299633979797
1678201365.0216112,40,0.5234770178794861
1678201365.0236132,40,0.5232762098312378
1678201365.0256152,40,0.5230278968811035
1678201365.0276167,40,0.522732675075531
1678201365.029618,40,0.5223900079727173
1678201366.9831564,50,0.14181005954742432
1678201366.9851587,50,0.14168058335781097
1678201366.98716,50,0.1411772519350052
1678201366.989162,50,0.1403249353170395
1678201366.9911642,50,0.13913895189762115
1678201366.9931657,50,0.13762322068214417
1678201366.9951677,50,0.1357746124267578
1678201366.9971697,50,0.13358359038829803
1678201366.9981706,50,0.1327933371067047
1678201367.0001721,50,0.13307815790176392
1678201368.9615724,60,0.10899370163679123
1678201368.963575,60,0.10893616080284119
1678201368.9655764,60,0.10886505246162415
1678201368.9675777,60,0.10878178477287292
1678201368.9695795,60,0.10868760943412781
1678201368.9715812,60,0.10858379304409027
1678201368.9725828,60,0.10847149789333344
1678201368.974584,60,0.10835176706314087
1678201368.9765866,60,0.1082257553935051
1678201368.9785883,60,0.10809428244829178
1678201370.9250312,70,0.06767573207616806
1678201370.9280348,70,0.06748967617750168
1678201370.930037,70,0.06727153062820435
1678201370.933039,70,0.06702573597431183
1678201370.9350402,70,0.06675613671541214
1678201370.9370425,70,0.06646689027547836
1678201370.939044,70,0.06616146862506866
1678201370.9410458,70,0.06584303826093674
1678201370.9430478,70,0.06551437824964523
1678201370.9460511,70,0.06517798453569412
1678201372.8818533,80,-0.006255404558032751
1678201372.8838553,80,-0.006114189047366381
1678201372.8858578,80,-0.0061636753380298615
1678201372.8878598,80,-0.006384673528373241
1678201372.889861,80,-0.0067621925845742226
1678201372.892864,80,-0.007288333959877491
1678201372.894866,80,-0.007957077585160732
1678201372.896868,80,-0.008765779435634613
1678201372.8988688,80,-0.009713628329336643
1678201372.9008706,80,-0.010802277363836765
1678201374.5740957,90,0.2487277388572693
1678201374.5760965,90,0.24830995500087738
1678201374.5780995,90,0.24761687219142914
1678201374.5791004,90,0.24668653309345245
1678201374.581102,90,0.24554771184921265
1678201374.582789,90,0.24423183500766754
1678201374.5847926,90,0.2427603155374527
1678201374.587795,90,0.24116523563861847
1678201374.588796,90,0.23952801525592804
1678201374.5907981,90,0.2384578436613083
1678201375.2920814,100,-0.12741407752037048
1678201375.2930827,100,-0.13308830559253693
1678201375.2950838,100,-0.14125873148441315
1678201375.296085,100,-0.1425635814666748
1678201375.2980878,100,-0.13969531655311584
1678201375.3000894,100,-0.13718950748443604
1678201375.30109,100,-0.13638164103031158
1678201375.3030634,100,-0.1379544585943222
1678201375.304571,100,-0.14171187579631805
1678201375.3055723,100,-0.14696823060512543
1678201376.1713927,110,0.07867959141731262
1678201376.1733947,110,0.07856288552284241
1678201376.1753967,110,0.07818198949098587
1678201376.1773975,110,0.07756801694631577
1678201376.1794002,110,0.07675449550151825
1678201376.181402,110,0.07578499615192413
1678201376.1824028,110,0.0746845081448555
1678201376.1844044,110,0.07348237186670303
1678201376.1864061,110,0.07220887392759323
1678201376.1884077,110,0.07090490311384201
1678201376.954531,120,0.11457657068967819
1678201376.9555318,120,0.1119726151227951
1678201376.9585342,120,0.10822081565856934
1678201376.9605355,120,0.10357767343521118
1678201376.9615364,120,0.09885776787996292
1678201376.9635382,120,0.09592683613300323
1678201376.964539,120,0.09437303245067596
1678201376.9665413,120,0.09341945499181747
1678201376.9675422,120,0.09305240213871002
1678201376.969544,120,0.09304986894130707
1678201377.5229547,130,-0.29798537492752075
1678201377.5239558,130,-0.29858145117759705
1678201377.525957,130,-0.30605578422546387
1678201377.5279593,130,-0.3191467821598053
1678201377.52896,130,-0.33007553219795227
1678201377.5309618,130,-0.3364402651786804
1678201377.5329633,130,-0.3382774889469147
1678201377.533964,130,-0.3405184745788574
1678201377.535966,130,-0.34318074584007263
1678201377.5369668,130,-0.3463013172149658
1678201377.9808068,140,-0.4274524748325348
1678201377.9828098,140,-0.42950040102005005
1678201377.9838111,140,-0.4327489733695984
1678201377.9848118,140,-0.4371848702430725
